location,target,type,quantile,forecast_date,target_end_date,value
39,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,84
40,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,11
41,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,8
42,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,111
44,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,27
45,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,18
46,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,2
47,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,22
48,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,169
49,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,8
50,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,155
53,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,26
54,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,0
55,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,50
56,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,1
US,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,3410
01,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,34
02,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,47
05,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,9
06,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,257
08,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,55
09,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,154
10,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,23
12,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,113
13,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,67
15,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,1
17,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,320
18,1 day ahead inc hosp,quantile,0.25,2020-05-21,2020-05-22,82
