location,target_end_date,quantile,value,forecast_date,horizon
60,2022-12-10,0.010,0.011396414664120405,2022-12-04,6
72,2022-12-10,0.010,4.328094978371764,2022-12-04,6
78,2022-12-10,0.010,0.0008606496676762145,2022-12-04,6
US,2022-12-10,0.010,3240.3313654769986,2022-12-04,6
01,2022-12-11,0.010,27.050976212412415,2022-12-04,7
02,2022-12-11,0.010,2.225195712094595,2022-12-04,7
04,2022-12-11,0.010,120.81005018259106,2022-12-04,7
05,2022-12-11,0.010,15.156838576980778,2022-12-04,7
06,2022-12-11,0.010,377.555450095614,2022-12-04,7
08,2022-12-11,0.010,47.47071663164651,2022-12-04,7
09,2022-12-11,0.010,26.06190637593333,2022-12-04,7
10,2022-12-11,0.010,6.184128119342299,2022-12-04,7
11,2022-12-11,0.010,3.6406307498474924,2022-12-04,7
12,2022-12-11,0.010,83.79901991646682,2022-12-04,7
13,2022-12-11,0.010,60.928425526252546,2022-12-04,7
15,2022-12-11,0.010,3.1031870472846173,2022-12-04,7
16,2022-12-11,0.010,11.357106667335994,2022-12-04,7
17,2022-12-11,0.010,156.90515138943158,2022-12-04,7
18,2022-12-11,0.010,68.0824471079077,2022-12-04,7
19,2022-12-11,0.010,21.306144672982857,2022-12-04,7
20,2022-12-11,0.010,28.445737543319172,2022-12-04,7
21,2022-12-11,0.010,36.529198679628585,2022-12-04,7
22,2022-12-11,0.010,25.368907987058915,2022-12-04,7
