target_end_date,quantile,value,type,location,forecast_date,target
2022-09-06,0.01,65.45707,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.025,79.180534,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.05,87.89392,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.1,98.26735,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.15,105.1628,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.2,112.81612,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.25,119.58586,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.3,122.47007,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.35,126.154945,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.4,129.66277,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.45,134.6399,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.5,140.46759,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.55,144.56546,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.6,149.60239,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.65,154.79942,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.7,161.25703,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.75,168.34207,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.8,174.26414,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.85,184.42578,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.9,196.77498,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.95,220.37122,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.975,246.72534,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-06,0.99,275.72794,quantile,01,2022-08-28,9 day ahead inc hosp
2022-09-07,0.01,65.31029,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.025,80.12985,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.05,87.52495,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.1,97.74722,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.15,104.70398,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.2,111.83219,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.25,119.40903,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.3,121.98882,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.35,125.94585,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.4,129.89934,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.45,134.12202,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.5,140.0812,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.55,144.07475,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.6,148.46844,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.65,153.46225,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.7,159.67865,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.75,166.91959,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.8,173.61168,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.85,183.55331,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.9,196.9885,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.95,224.241,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.975,250.54608,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-07,0.99,281.07495,quantile,01,2022-08-28,10 day ahead inc hosp
2022-09-08,0.01,57.345528,quantile,01,2022-08-28,11 day ahead inc hosp
