location,forecast_date,value,target_end_date,target,type,quantile
05051,2020-09-21,98,2020-09-26,1 wk ahead inc case,point,NA
05051,2020-09-21,113,2020-10-03,2 wk ahead inc case,point,NA
05053,2020-09-21,33,2020-09-26,1 wk ahead inc case,point,NA
05053,2020-09-21,43,2020-10-03,2 wk ahead inc case,point,NA
05055,2020-09-21,9,2020-09-26,1 wk ahead inc case,point,NA
05055,2020-09-21,25,2020-10-03,2 wk ahead inc case,point,NA
05057,2020-09-21,37,2020-09-26,1 wk ahead inc case,point,NA
05057,2020-09-21,64,2020-10-03,2 wk ahead inc case,point,NA
05059,2020-09-21,51,2020-09-26,1 wk ahead inc case,point,NA
05059,2020-09-21,56,2020-10-03,2 wk ahead inc case,point,NA
05061,2020-09-21,14,2020-09-26,1 wk ahead inc case,point,NA
05061,2020-09-21,20,2020-10-03,2 wk ahead inc case,point,NA
05063,2020-09-21,86,2020-09-26,1 wk ahead inc case,point,NA
05063,2020-09-21,96,2020-10-03,2 wk ahead inc case,point,NA
05065,2020-09-21,13,2020-09-26,1 wk ahead inc case,point,NA
05065,2020-09-21,12,2020-10-03,2 wk ahead inc case,point,NA
05067,2020-09-21,28,2020-09-26,1 wk ahead inc case,point,NA
05067,2020-09-21,16,2020-10-03,2 wk ahead inc case,point,NA
05069,2020-09-21,281,2020-09-26,1 wk ahead inc case,point,NA
05069,2020-09-21,308,2020-10-03,2 wk ahead inc case,point,NA
05071,2020-09-21,17,2020-09-26,1 wk ahead inc case,point,NA
05071,2020-09-21,10,2020-10-03,2 wk ahead inc case,point,NA
05073,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05073,2020-09-21,9,2020-10-03,2 wk ahead inc case,point,NA
05075,2020-09-21,57,2020-09-26,1 wk ahead inc case,point,NA
05075,2020-09-21,62,2020-10-03,2 wk ahead inc case,point,NA
05077,2020-09-21,12,2020-09-26,1 wk ahead inc case,point,NA
05077,2020-09-21,9,2020-10-03,2 wk ahead inc case,point,NA
05079,2020-09-21,159,2020-09-26,1 wk ahead inc case,point,NA
05079,2020-09-21,315,2020-10-03,2 wk ahead inc case,point,NA
05081,2020-09-21,19,2020-09-26,1 wk ahead inc case,point,NA
05081,2020-09-21,21,2020-10-03,2 wk ahead inc case,point,NA
05083,2020-09-21,10,2020-09-26,1 wk ahead inc case,point,NA
05083,2020-09-21,15,2020-10-03,2 wk ahead inc case,point,NA
05085,2020-09-21,179,2020-09-26,1 wk ahead inc case,point,NA
05085,2020-09-21,211,2020-10-03,2 wk ahead inc case,point,NA
05087,2020-09-21,18,2020-09-26,1 wk ahead inc case,point,NA
05087,2020-09-21,28,2020-10-03,2 wk ahead inc case,point,NA
05089,2020-09-21,25,2020-09-26,1 wk ahead inc case,point,NA
05089,2020-09-21,46,2020-10-03,2 wk ahead inc case,point,NA
05091,2020-09-21,49,2020-09-26,1 wk ahead inc case,point,NA
05091,2020-09-21,33,2020-10-03,2 wk ahead inc case,point,NA
05093,2020-09-21,7,2020-09-26,1 wk ahead inc case,point,NA
05093,2020-09-21,4,2020-10-03,2 wk ahead inc case,point,NA
05095,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05095,2020-09-21,4,2020-10-03,2 wk ahead inc case,point,NA
05097,2020-09-21,17,2020-10-03,2 wk ahead inc case,point,NA
05099,2020-09-21,30,2020-09-26,1 wk ahead inc case,point,NA
05099,2020-09-21,49,2020-10-03,2 wk ahead inc case,point,NA
05101,2020-09-21,28,2020-09-26,1 wk ahead inc case,point,NA
05101,2020-09-21,26,2020-10-03,2 wk ahead inc case,point,NA
05103,2020-09-21,3,2020-09-26,1 wk ahead inc case,point,NA
05103,2020-09-21,3,2020-10-03,2 wk ahead inc case,point,NA
05105,2020-09-21,10,2020-09-26,1 wk ahead inc case,point,NA
05105,2020-09-21,9,2020-10-03,2 wk ahead inc case,point,NA
05107,2020-09-21,18,2020-09-26,1 wk ahead inc case,point,NA
05107,2020-09-21,7,2020-10-03,2 wk ahead inc case,point,NA
05109,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05109,2020-09-21,6,2020-10-03,2 wk ahead inc case,point,NA
05111,2020-09-21,1,2020-09-26,1 wk ahead inc case,point,NA
05111,2020-09-21,12,2020-10-03,2 wk ahead inc case,point,NA
05113,2020-09-21,0,2020-09-26,1 wk ahead inc case,point,NA
05113,2020-09-21,10,2020-10-03,2 wk ahead inc case,point,NA
05115,2020-09-21,34,2020-09-26,1 wk ahead inc case,point,NA
05115,2020-09-21,13,2020-10-03,2 wk ahead inc case,point,NA
05117,2020-09-21,10,2020-09-26,1 wk ahead inc case,point,NA
05117,2020-09-21,13,2020-10-03,2 wk ahead inc case,point,NA
05119,2020-09-21,542,2020-09-26,1 wk ahead inc case,point,NA
05119,2020-09-21,671,2020-10-03,2 wk ahead inc case,point,NA
05121,2020-09-21,34,2020-09-26,1 wk ahead inc case,point,NA
05121,2020-09-21,53,2020-10-03,2 wk ahead inc case,point,NA
