"target","location","location_name","type","quantile","value"
"3 wk ahead cum death","23","Maine","quantile",0.025,19.1674388369117
"4 wk ahead cum death","23","Maine","quantile",0.025,19.2379026259956
"5 wk ahead cum death","23","Maine","quantile",0.025,19.3165189829772
"6 wk ahead cum death","23","Maine","quantile",0.025,19.3726812478688
"1 wk ahead cum death","23","Maine","quantile",0.5,27.1001249139092
"2 wk ahead cum death","23","Maine","quantile",0.5,36.2439081275684
"3 wk ahead cum death","23","Maine","quantile",0.5,43.3685244999646
"4 wk ahead cum death","23","Maine","quantile",0.5,47.5455013432116
"5 wk ahead cum death","23","Maine","quantile",0.5,49.9669056654853
"6 wk ahead cum death","23","Maine","quantile",0.5,51.8102871880762
"1 wk ahead cum death","23","Maine","quantile",0.975,64.5549086789389
"2 wk ahead cum death","23","Maine","quantile",0.975,113.172324074501
"3 wk ahead cum death","23","Maine","quantile",0.975,164.833276032873
"4 wk ahead cum death","23","Maine","quantile",0.975,202.47399899327
"5 wk ahead cum death","23","Maine","quantile",0.975,243.733147501284
"6 wk ahead cum death","23","Maine","quantile",0.975,283.962888891788
"1 wk ahead cum death","24","Maryland","quantile",0.025,267.81522499895
"2 wk ahead cum death","24","Maryland","quantile",0.025,308.494416158335
"3 wk ahead cum death","24","Maryland","quantile",0.025,344.504530486011
"4 wk ahead cum death","24","Maryland","quantile",0.025,368.553486274492
"5 wk ahead cum death","24","Maryland","quantile",0.025,389.644418277956
"6 wk ahead cum death","24","Maryland","quantile",0.025,402.382912000417
"1 wk ahead cum death","24","Maryland","quantile",0.5,398.272177642139
"2 wk ahead cum death","24","Maryland","quantile",0.5,623.149086455145
"3 wk ahead cum death","24","Maryland","quantile",0.5,829.497328632175
"4 wk ahead cum death","24","Maryland","quantile",0.5,1015.19709152579
"5 wk ahead cum death","24","Maryland","quantile",0.5,1180.92444841086
"6 wk ahead cum death","24","Maryland","quantile",0.5,1313.2499874477
"1 wk ahead cum death","24","Maryland","quantile",0.975,821.75428088891
"2 wk ahead cum death","24","Maryland","quantile",0.975,1638.45398042784
"3 wk ahead cum death","24","Maryland","quantile",0.975,2667.42125049949
"4 wk ahead cum death","24","Maryland","quantile",0.975,4526.82523624639
"5 wk ahead cum death","24","Maryland","quantile",0.975,7661.0575005067
"6 wk ahead cum death","24","Maryland","quantile",0.975,12522.1891193121
"1 wk ahead cum death","25","Massachusetts","quantile",0.025,1013.30353202896
"2 wk ahead cum death","25","Massachusetts","quantile",0.025,1324.46667895925
"3 wk ahead cum death","25","Massachusetts","quantile",0.025,1581.01073045228
"4 wk ahead cum death","25","Massachusetts","quantile",0.025,1738.14613850548
"5 wk ahead cum death","25","Massachusetts","quantile",0.025,1824.14889253483
"6 wk ahead cum death","25","Massachusetts","quantile",0.025,1866.09372413743
"1 wk ahead cum death","25","Massachusetts","quantile",0.5,1546.78845973801
"2 wk ahead cum death","25","Massachusetts","quantile",0.5,2764.31905849771
"3 wk ahead cum death","25","Massachusetts","quantile",0.5,4076.12748170949
"4 wk ahead cum death","25","Massachusetts","quantile",0.5,5254.67189307705
"5 wk ahead cum death","25","Massachusetts","quantile",0.5,6110.69653307802
"6 wk ahead cum death","25","Massachusetts","quantile",0.5,6681.73818872692
"1 wk ahead cum death","25","Massachusetts","quantile",0.975,2741.91812947274
"2 wk ahead cum death","25","Massachusetts","quantile",0.975,6181.12875820499
"3 wk ahead cum death","25","Massachusetts","quantile",0.975,11505.2068103937
"4 wk ahead cum death","25","Massachusetts","quantile",0.975,19042.4134323725
"5 wk ahead cum death","25","Massachusetts","quantile",0.975,29135.047790082
"6 wk ahead cum death","25","Massachusetts","quantile",0.975,38964.8905820285
"1 wk ahead cum death","26","Michigan","quantile",0.025,1576.4311555288
"2 wk ahead cum death","26","Michigan","quantile",0.025,1655.52608128896
"3 wk ahead cum death","26","Michigan","quantile",0.025,1697.47232144706
"4 wk ahead cum death","26","Michigan","quantile",0.025,1725.16853066257
"5 wk ahead cum death","26","Michigan","quantile",0.025,1743.25080499768
"6 wk ahead cum death","26","Michigan","quantile",0.025,1757.24714237243
"1 wk ahead cum death","26","Michigan","quantile",0.5,1974.14665544202
"2 wk ahead cum death","26","Michigan","quantile",0.5,2378.3368968599
"3 wk ahead cum death","26","Michigan","quantile",0.5,2668.04841419472
"4 wk ahead cum death","26","Michigan","quantile",0.5,2927.5702932637
"5 wk ahead cum death","26","Michigan","quantile",0.5,3155.02949740069
"6 wk ahead cum death","26","Michigan","quantile",0.5,3347.74199518555
"1 wk ahead cum death","26","Michigan","quantile",0.975,3468.87538945353
"2 wk ahead cum death","26","Michigan","quantile",0.975,5228.02197965251
"3 wk ahead cum death","26","Michigan","quantile",0.975,6976.25478913329
"4 wk ahead cum death","26","Michigan","quantile",0.975,9016.9395257496
"5 wk ahead cum death","26","Michigan","quantile",0.975,11109.8294853101
"6 wk ahead cum death","26","Michigan","quantile",0.975,13264.8863446423
"1 wk ahead cum death","27","Minnesota","quantile",0.025,74.2438409803107
"2 wk ahead cum death","27","Minnesota","quantile",0.025,85.1007702800785
"3 wk ahead cum death","27","Minnesota","quantile",0.025,100.027900438714
"4 wk ahead cum death","27","Minnesota","quantile",0.025,110.049361143266
"5 wk ahead cum death","27","Minnesota","quantile",0.025,115.278032307394
"6 wk ahead cum death","27","Minnesota","quantile",0.025,117.605373558431
"1 wk ahead cum death","27","Minnesota","quantile",0.5,121.542659840047
"2 wk ahead cum death","27","Minnesota","quantile",0.5,204.044537575343
"3 wk ahead cum death","27","Minnesota","quantile",0.5,296.42305265856
"4 wk ahead cum death","27","Minnesota","quantile",0.5,388.681808482009
"5 wk ahead cum death","27","Minnesota","quantile",0.5,468.915476088579
"6 wk ahead cum death","27","Minnesota","quantile",0.5,531.808334272309
"1 wk ahead cum death","27","Minnesota","quantile",0.975,270.027555113349
"2 wk ahead cum death","27","Minnesota","quantile",0.975,590.310053769984
"3 wk ahead cum death","27","Minnesota","quantile",0.975,1034.49677782117
"4 wk ahead cum death","27","Minnesota","quantile",0.975,1600.65658207951
"5 wk ahead cum death","27","Minnesota","quantile",0.975,2264.44079831703
"6 wk ahead cum death","27","Minnesota","quantile",0.975,3136.12309301098
"1 wk ahead cum death","28","Mississippi","quantile",0.025,97.7706637388905
"2 wk ahead cum death","28","Mississippi","quantile",0.025,105.421603145052
"3 wk ahead cum death","28","Mississippi","quantile",0.025,116.804748169433
"4 wk ahead cum death","28","Mississippi","quantile",0.025,123.098859360133
"5 wk ahead cum death","28","Mississippi","quantile",0.025,125.22922999608
"6 wk ahead cum death","28","Mississippi","quantile",0.025,126.072026627439
"1 wk ahead cum death","28","Mississippi","quantile",0.5,141.616363139006
"2 wk ahead cum death","28","Mississippi","quantile",0.5,210.231631357699
"3 wk ahead cum death","28","Mississippi","quantile",0.5,272.199994016351
"4 wk ahead cum death","28","Mississippi","quantile",0.5,318.947535556549
"5 wk ahead cum death","28","Mississippi","quantile",0.5,354.73770531612
"6 wk ahead cum death","28","Mississippi","quantile",0.5,381.486262681552
"1 wk ahead cum death","28","Mississippi","quantile",0.975,391.382357436764
"2 wk ahead cum death","28","Mississippi","quantile",0.975,774.078344533116
"3 wk ahead cum death","28","Mississippi","quantile",0.975,1126.23226992222
"4 wk ahead cum death","28","Mississippi","quantile",0.975,1560.66484986585
"5 wk ahead cum death","28","Mississippi","quantile",0.975,2055.62887325783
"6 wk ahead cum death","28","Mississippi","quantile",0.975,2650.40646655507
"1 wk ahead cum death","29","Missouri","quantile",0.025,122.181842806743
"2 wk ahead cum death","29","Missouri","quantile",0.025,152.781798723162
"3 wk ahead cum death","29","Missouri","quantile",0.025,202.66718320311
"4 wk ahead cum death","29","Missouri","quantile",0.025,241.385004261786
"5 wk ahead cum death","29","Missouri","quantile",0.025,262.655006654737
"6 wk ahead cum death","29","Missouri","quantile",0.025,272.784643888496
"1 wk ahead cum death","29","Missouri","quantile",0.5,220.030814097485
"2 wk ahead cum death","29","Missouri","quantile",0.5,396.118284088944
"3 wk ahead cum death","29","Missouri","quantile",0.5,601.680584079827
"4 wk ahead cum death","29","Missouri","quantile",0.5,786.104577206716
"5 wk ahead cum death","29","Missouri","quantile",0.5,930.386655889835
"6 wk ahead cum death","29","Missouri","quantile",0.5,1028.0718985248
"1 wk ahead cum death","29","Missouri","quantile",0.975,634.883576975943
"2 wk ahead cum death","29","Missouri","quantile",0.975,1374.8969523108
"3 wk ahead cum death","29","Missouri","quantile",0.975,2257.06623165565
"4 wk ahead cum death","29","Missouri","quantile",0.975,3154.89360278205
"5 wk ahead cum death","29","Missouri","quantile",0.975,4153.30923052662
"6 wk ahead cum death","29","Missouri","quantile",0.975,5010.03647045081
"1 wk ahead cum death","30","Montana","quantile",0.025,6.5096921195572
"2 wk ahead cum death","30","Montana","quantile",0.025,6.53292645689291
"3 wk ahead cum death","30","Montana","quantile",0.025,6.56474932115789
"4 wk ahead cum death","30","Montana","quantile",0.025,6.58323920117556
"5 wk ahead cum death","30","Montana","quantile",0.025,6.61361905500128
"6 wk ahead cum death","30","Montana","quantile",0.025,6.63273762490323
"1 wk ahead cum death","30","Montana","quantile",0.5,8.75955669545188
"2 wk ahead cum death","30","Montana","quantile",0.5,12.6277890964536
"3 wk ahead cum death","30","Montana","quantile",0.5,15.6032196860448
"4 wk ahead cum death","30","Montana","quantile",0.5,16.7410076449358
"5 wk ahead cum death","30","Montana","quantile",0.5,17.5003826501182
"6 wk ahead cum death","30","Montana","quantile",0.5,18.1973826135788
"1 wk ahead cum death","30","Montana","quantile",0.975,23.1365571469693
"2 wk ahead cum death","30","Montana","quantile",0.975,46.9500817503144
"3 wk ahead cum death","30","Montana","quantile",0.975,66.4364701413161
"4 wk ahead cum death","30","Montana","quantile",0.975,81.4635154933271
"5 wk ahead cum death","30","Montana","quantile",0.975,93.6991586553995
"6 wk ahead cum death","30","Montana","quantile",0.975,106.846668396774
"1 wk ahead cum death","31","Nebraska","quantile",0.025,17.7414748004818
"2 wk ahead cum death","31","Nebraska","quantile",0.025,22.7670249817243
"3 wk ahead cum death","31","Nebraska","quantile",0.025,28.6591464942585
