value,target,target_end_date,type,quantile,forecast_date,location
109.67729377746582,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,28115
181.86995315551758,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,47075
129.54193973541237,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,47075
61.02499771118164,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,54091
36.192770957946834,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,54091
154.90290927886963,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,24009
104.41535091400146,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,24009
932.2408752441415,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,39173
641.1963729858398,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,39173
44.01481151580816,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,02261
28.436617136001644,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,02261
51.552995681762695,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,05039
33.7361519336701,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,05039
6276.989582061768,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,20173
4248.157867431641,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,20173
1041.6646881103525,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,35005
724.0404129028311,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,35005
195.32001399993896,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,29167
146.4379596710205,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,29167
521.3709945678711,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,41059
335.395450592041,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,41059
1498.3300476074219,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48309
986.829704284668,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48309
383.1271171569824,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,09013
274.44206428527787,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,09013
136.6573362350466,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37087
80.36456394195557,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37087
331.3168544769287,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,49021
225.8928737640381,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,49021
