"forecast_date","target","target_end_date","quantile","type","location","value"
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","13",187.386894764345
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","13",241.43586677715
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","13",346.097907737725
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","13",442.507592487422
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","13",717.774636643419
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","13",1035.9013621422
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","13",1445.80704108401
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","13",1976.1531517808
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","15",1.00011150472568
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","15",1.63170036675196
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","15",2.47976519441804
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","15",4.00662832469948
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","15",5.24373658151625
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","15",7.09077297114783
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","15",9.34318977006885
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","15",11.6382856207741
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","15",13.8787369325239
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","15",18.0823530110853
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","15",21.5565331387199
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","15",23.9456202829297
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","15",28.4491752767775
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","15",33.8907494690883
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","15",38.4116053328705
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","15",44.1530644064909
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","15",52.2235594695873
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","15",65.0242660116634
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","15",78.9292822474496
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","15",133.470049957752
